Geneid	Chr	Start	End	Strand	Length	wt35_1.1st	wt35_2.1st	wt35_3.1st	wt35_1.3st	wt35_2.3st	wt35_3.3st	wt35_4.3st	Mut218_1.3st	Mut218_2.3st	Mut218_3.3st
YKL160W	chrXI	153269	153706	+	438	419	679	499	698	669	731	797	686	660	647
YKL159C	chrXI	153816	154451	-	636	175	230	156	217	182	213	181	184	180	191
YKL157W	chrXI	154991	158232	+	3242	1190	1742	991	1310	1263	1551	1381	1320	1493	1687
YKL156W	chrXI	158613	159212	+	600	215	385	197	220	185	254	195	215	212	216
YKL156C-A	chrXI	158975	159091	-	117	0	0	0	0	0	0	0	0	0	0
YKL155C	chrXI	159456	161342	-	1887	301	538	255	196	189	248	276	260	243	338
YKL154W	chrXI	161601	162335	+	735	181	250	161	120	145	152	163	157	144	163
YKL153W	chrXI	163600	164109	+	510	137	220	76	476	475	459	484	491	454	468
YKL152C	chrXI	163642	164385	-	744	2580	3778	2322	4708	5391	4590	5137	6448	5633	5973
YKL151C	chrXI	164917	165930	-	1014	1029	1590	813	1453	1124	1354	911	979	1106	1224
YKL150W	chrXI	166400	167452	+	1053	2364	3442	1621	2914	2006	2392	2192	1749	1676	2004
YKL149C	chrXI	167612	168829	-	1218	206	282	184	234	151	198	169	200	157	215
YKL148C	chrXI	169207	171129	-	1923	444	728	337	617	572	530	535	1010	931	1034
YKL147C	chrXI	171551	172168	-	618	2	7	4	2	2	2	2	0	3	1
YKL146W	chrXI	171783	173861	+	2079	360	549	322	481	337	327	300	363	337	415
YKL145W	chrXI	174213	175616	+	1404	1345	1969	1329	1805	1947	1941	2230	1666	1577	1663
YKL145W-A	chrXI	174958	175050	+	93	0	0	0	0	0	0	0	0	0	0
YKL144C	chrXI	175843	176481	-	639	202	250	220	244	219	243	238	189	228	209
YKL143W	chrXI	176781	178172	+	1392	182	359	391	420	411	535	581	483	621	457
YKL142W	chrXI	178515	179174	+	660	997	1601	742	1886	1317	1767	1558	1521	1447	2032
YKL141W	chrXI	179667	180263	+	597	455	761	363	667	536	622	531	788	901	922
YKL140W	chrXI	180779	182425	+	1647	318	469	231	329	280	321	277	282	264	327
YKL139W	chrXI	182958	184544	+	1587	199	298	214	210	195	273	179	219	197	242
YKL138C-A	chrXI	184803	185012	-	210	143	181	107	113	130	130	144	176	207	188
YKL138C	chrXI	185286	185681	-	396	155	233	152	216	210	232	306	246	256	282
YKL137W	chrXI	185957	186292	+	336	78	103	72	108	98	118	146	109	102	113
YKL136W	chrXI	186416	186814	+	399	6	15	3	6	7	7	8	4	1	1
YKL135C	chrXI	186460	188640	-	2181	485	694	431	401	307	435	334	367	351	470
YKL134C	chrXI	189124	191442	-	2319	224	292	185	177	153	204	177	218	238	276
YKL133C	chrXI	191679	193070	-	1392	125	195	87	155	104	137	123	211	211	254
YKL132C	chrXI	193574	194866	-	1293	72	120	61	92	66	93	69	59	70	84
YKL131W	chrXI	194478	194999	+	522	3	0	0	2	0	2	3	2	2	0
YKL130C	chrXI	195288	196028	-	741	147	178	150	217	152	206	167	217	239	212
YKL129C	chrXI	196349	200167	-	3819	899	1283	820	1224	961	1086	790	880	874	1082
YKL128C	chrXI	200884	201771	-	888	889	1060	640	1016	725	760	504	519	505	569
YKL127W	chrXI	203541	205253	+	1713	430	523	278	423	333	397	386	470	445	602
YKL126W	chrXI	205707	207749	+	2043	1041	1420	746	1331	1141	1217	1258	1205	1060	1295
YKL125W	chrXI	208247	210130	+	1884	269	436	260	393	262	374	310	291	283	304
YKL124W	chrXI	210593	212332	+	1740	244	327	190	237	141	206	143	170	153	165
YKL123W	chrXI	212043	212423	+	381	5	6	0	2	2	1	3	2	0	0
YKL122C	chrXI	212495	212998	-	504	288	410	382	364	349	338	454	364	319	372
YKL121W	chrXI	214142	216700	+	2559	925	1129	701	458	348	436	357	383	399	494
YKL120W	chrXI	217344	218318	+	975	2914	3872	2291	463	403	502	495	385	433	503
YKL119C	chrXI	218570	219217	-	648	133	185	100	211	173	175	169	152	134	148
YKL118W	chrXI	219126	219437	+	312	1	0	4	0	1	1	1	0	1	0
YKL117W	chrXI	220324	220974	+	651	1904	2760	1774	2490	2740	2688	3492	2784	2648	2872
YKL116C	chrXI	221344	222900	-	1557	165	235	137	177	142	177	144	230	222	307
YKL115C	chrXI	222893	223285	-	393	26	27	17	12	16	23	27	13	13	14
YKL114C	chrXI	223352	224455	-	1104	750	1042	715	632	552	609	622	484	481	471
YKL113C	chrXI	224727	225875	-	1149	189	288	226	280	309	305	399	544	465	613
YKL112W	chrXI	226570	228765	+	2196	173	247	183	163	159	149	166	188	182	203
YKL111C	chrXI	228464	228799	-	336	5	10	2	5	1	5	3	2	3	3
YKL110C	chrXI	228939	229880	-	942	333	478	310	405	335	372	286	343	336	357
YKL109W	chrXI	232227	233891	+	1665	656	1164	481	526	391	562	417	1053	935	1041
YKL108W	chrXI	234426	235787	+	1362	115	177	102	120	85	107	107	143	125	176
YKL107W	chrXI	236141	237070	+	930	155	237	129	147	98	106	59	99	92	95
YKL106C-A	chrXI	237147	237266	-	120	0	0	1	3	1	1	6	5	6	1
YKL106W	chrXI	237536	238891	+	1356	450	556	432	261	212	273	228	194	253	261
YKL105C	chrXI	239185	242583	-	3399	341	488	316	328	295	352	275	333	360	463
YKL104C	chrXI	243220	245373	-	2154	2341	3489	2021	2284	2044	2332	2127	3356	3086	3225
YKL104W-A	chrXI	245032	245286	+	255	0	0	0	0	0	0	0	0	0	0
YKL103C	chrXI	246138	247682	-	1545	809	1300	703	1431	921	1037	777	730	770	936
YKL102C	chrXI	248062	248367	-	306	28	37	21	45	28	20	25	36	21	21
YKL101W	chrXI	248920	253476	+	4557	412	576	369	520	344	435	444	417	347	425
YKL100C	chrXI	253697	255460	-	1764	593	992	460	640	480	650	527	521	513	650
YKL100W-A	chrXI	254159	254248	+	90	0	0	0	0	0	0	0	0	0	0
YKL099C	chrXI	255720	256472	-	753	119	206	198	202	166	201	236	225	250	217
YKL098W	chrXI	256770	257843	+	1074	490	833	532	693	651	686	561	510	501	441
YKL097C	chrXI	258503	258913	-	411	32	34	16	40	24	31	19	8	4	4
YKL096C-B	chrXI	259073	259222	-	150	4	10	1	11	5	17	8	1	3	2
YKL096W-A	chrXI	259253	259531	+	279	1000	1033	806	1975	1765	1528	1569	1889	1619	1485
YKL096W	chrXI	261132	261851	+	720	771	1282	751	857	831	1031	641	1048	1198	1793
YKL095W	chrXI	262277	263113	+	837	87	136	106	77	93	95	86	96	123	118
YKL094W	chrXI	263349	264290	+	942	818	1189	697	1132	760	950	731	1183	1264	1855
YKL093W	chrXI	264789	265808	+	1020	178	277	160	216	168	207	139	223	260	369
YKL092C	chrXI	266145	269459	-	3315	191	213	150	150	102	172	142	136	132	189
YKL091C	chrXI	269718	270650	-	933	309	447	211	501	346	422	348	428	386	592
YKL090W	chrXI	271878	273209	+	1332	161	211	143	137	133	162	145	134	120	156
YKL089W	chrXI	273394	275043	+	1650	123	192	141	167	149	121	141	127	157	225
YKL088W	chrXI	275283	276998	+	1716	468	796	554	519	465	616	499	417	454	541
YKL087C	chrXI	277189	277863	-	675	139	245	132	267	199	205	186	272	229	254
YKL086W	chrXI	278281	278664	+	384	17	46	19	40	37	23	18	78	79	84
YKL085W	chrXI	279123	280127	+	1005	1043	1933	970	1383	1178	1105	1266	1570	1639	1802
YKL084W	chrXI	280509	280859	+	351	127	161	107	128	129	134	122	145	145	128
YKL083W	chrXI	280921	281535	+	615	5	11	2	3	8	6	4	2	8	7
YKL082C	chrXI	281025	282329	-	1305	156	337	316	277	392	277	284	367	424	504
YKL081W	chrXI	282891	284455	+	1565	927	1409	980	1313	1438	1344	1581	1717	1680	1621
YKL080W	chrXI	285030	286208	+	1179	978	1230	737	1086	862	989	931	933	930	1001
YKL079W	chrXI	286603	288573	+	1971	409	586	358	442	328	461	344	558	507	685
YKL078W	chrXI	288845	291052	+	2208	80	118	71	99	97	123	92	123	120	74
YKL077W	chrXI	291453	292631	+	1179	646	1002	653	582	478	601	562	640	596	749
YKL076C	chrXI	292838	293221	-	384	23	26	8	32	14	22	18	14	8	19
YKL075C	chrXI	292956	294308	-	1353	147	194	106	209	174	158	162	157	197	274
YKL074C	chrXI	294610	296193	-	1584	186	281	224	239	172	233	221	267	226	311
YKL073W	chrXI	296430	299075	+	2646	446	660	428	333	392	470	518	637	721	853
YKL072W	chrXI	299582	301882	+	2301	518	779	559	400	306	488	299	254	325	400
YKL071W	chrXI	305114	305884	+	771	111	171	117	107	81	110	85	71	55	88
YKL070W	chrXI	306211	306720	+	510	126	161	108	136	119	143	118	124	145	188
YKL069W	chrXI	307285	307827	+	543	124	164	114	183	154	137	126	196	163	154
YKL068W-A	chrXI	309206	309442	+	237	422	465	272	212	196	234	230	282	231	427
YKL068W	chrXI	310199	313078	+	2880	612	916	584	502	493	552	449	506	544	610
YKL067W	chrXI	314812	315273	+	462	678	934	522	1037	788	888	1041	913	814	974
YKL066W	chrXI	315281	315724	+	444	159	190	120	270	212	229	242	177	182	180
YKL065W-A	chrXI	315954	316175	+	222	12	19	8	8	10	15	8	6	6	8
YKL065C	chrXI	316437	317057	-	621	1410	1839	1071	1737	1465	1723	1539	1878	1627	1956
YKL064W	chrXI	317764	320673	+	2910	1430	1970	1222	1460	1190	1500	1345	1216	1175	1447
YKL063C	chrXI	321015	321518	-	504	322	410	255	313	233	277	275	285	255	341
YKL062W	chrXI	323228	325120	+	1893	425	719	304	331	259	338	217	459	546	564
YKL061W	chrXI	325771	326112	+	342	141	147	98	132	69	109	85	117	93	107
YKL060C	chrXI	326408	327487	-	1080	13899	20756	13469	23499	26878	23040	24096	22794	22808	21717
YKL059C	chrXI	328118	329443	-	1326	335	472	327	337	342	322	338	330	340	454
YKL058W	chrXI	330166	330534	+	369	272	364	225	275	279	302	304	294	256	294
YKL057C	chrXI	330856	333969	-	3114	477	566	302	389	239	384	309	294	313	397
YKL056C	chrXI	334412	334915	-	504	2321	3599	2518	2895	2998	3089	3149	3436	3651	3712
YKL055C	chrXI	335321	336157	-	837	31	28	27	33	19	28	25	28	33	46
YKL054C	chrXI	336537	338753	-	2217	595	1077	691	676	597	617	596	754	637	763
YKL053C-A	chrXI	339182	339442	-	261	138	212	113	219	196	217	191	202	159	146
YKL053W	chrXI	339572	339946	+	375	8	6	3	7	3	10	10	6	10	3
YKL052C	chrXI	339668	340546	-	879	199	268	168	324	239	226	168	168	188	193
YKL051W	chrXI	341312	342373	+	1062	270	375	230	325	200	285	149	197	232	273
YKL050C	chrXI	342852	345620	-	2769	286	394	246	288	205	229	203	152	192	209
YKL049C	chrXI	346075	346764	-	690	126	166	153	176	209	212	273	269	244	319
YKL048C	chrXI	347214	349136	-	1923	169	225	163	155	120	181	154	192	236	275
YKL047W	chrXI	349463	351013	+	1551	160	218	160	197	171	216	212	184	151	159
YKL046C	chrXI	351275	352624	-	1350	716	1026	699	1309	1134	1005	1014	1034	988	1066
YKL045W	chrXI	353493	355079	+	1587	319	388	251	408	288	315	290	336	338	387
YKL044W	chrXI	356322	356642	+	321	12	41	20	19	6	32	21	15	20	29
YKL043W	chrXI	356748	357848	+	1101	152	239	106	209	201	199	149	166	189	219
YKL042W	chrXI	358475	359566	+	1092	112	120	79	97	76	109	99	118	90	130
YKL041W	chrXI	360143	360817	+	675	407	691	487	566	614	716	700	624	686	673
YKL040C	chrXI	361058	361828	-	771	322	448	255	321	293	386	316	359	403	474
YKL039W	chrXI	362622	364193	+	1572	923	1505	883	1131	1034	1276	1134	1233	1260	1416
YKL038W	chrXI	365605	369117	+	3513	448	640	431	574	443	460	331	355	351	403
YKL037W	chrXI	369365	369721	+	357	46	64	38	33	44	24	31	32	36	22
YKL036C	chrXI	369528	369920	-	393	2	10	5	3	7	0	3	7	6	11
YKL035W	chrXI	369891	371390	+	1500	2767	4148	1929	3332	2395	3054	2070	2053	2467	3766
YKL034W	chrXI	371829	374105	+	2277	533	778	412	513	351	478	365	376	422	470
YKL033W-A	chrXI	374505	375215	+	711	1492	1508	980	1521	905	1014	752	494	476	457
YKL033W	chrXI	375456	378572	+	3117	206	346	218	159	146	185	156	208	190	238
YKL032C	chrXI	380065	381858	-	1794	247	303	190	210	148	213	132	221	218	344
YKL031W	chrXI	382072	382485	+	414	6	4	5	8	9	4	4	13	4	10
YKL030W	chrXI	382498	383103	+	606	28	20	22	16	7	11	4	7	7	2
YKL029C	chrXI	382716	384725	-	2010	992	1417	958	477	489	473	303	413	424	446
YKL028W	chrXI	385758	387206	+	1449	745	1311	995	1074	1124	939	1026	809	784	948
YKL027W	chrXI	387562	388905	+	1344	390	584	384	561	516	578	503	461	553	531
YKL026C	chrXI	389380	389883	-	504	157	222	123	239	185	245	200	194	154	233
YKL025C	chrXI	390240	392279	-	2040	409	584	315	475	326	424	323	289	327	386
YKL024C	chrXI	392526	393140	-	615	350	556	410	449	520	528	614	500	574	564
YKL023C-A	chrXI	393146	393373	-	228	40	79	59	46	54	70	81	97	90	113
YKL023W	chrXI	393721	394554	+	834	755	1200	942	855	802	822	740	566	568	697
YKL022C	chrXI	394726	397248	-	2523	680	1071	619	688	520	650	494	385	465	562
YKL021C	chrXI	397344	398750	-	1407	226	352	346	275	282	279	397	316	340	325
YKL020C	chrXI	398832	402080	-	3249	481	556	262	401	267	367	260	346	327	527
YKL019W	chrXI	402568	403518	+	951	473	662	388	608	442	456	320	361	430	467
YKL018C-A	chrXI	403580	403879	-	300	85	109	84	131	126	140	147	108	101	100
YKL018W	chrXI	404102	405091	+	990	183	230	143	141	149	159	131	184	163	185
YKL017C	chrXI	405190	407241	-	2052	343	473	280	367	288	384	307	268	258	304
YKL016C	chrXI	407465	407989	-	525	769	1061	578	1345	1096	1211	1449	1318	1313	1257
YKL015W	chrXI	408544	411483	+	2940	351	478	287	272	204	306	247	235	225	246
YKL014C	chrXI	411619	416913	-	5295	372	563	416	440	322	445	391	333	325	306
YKL013C	chrXI	417508	418023	-	516	731	868	518	820	549	717	696	857	739	766
YKL012W	chrXI	418310	420061	+	1752	421	640	361	519	358	487	395	509	532	698
YKL011C	chrXI	420155	421216	-	1062	105	149	93	116	95	124	90	115	116	148
YKL010C	chrXI	421424	425875	-	4452	545	763	450	557	435	618	518	623	708	855
YKL009W	chrXI	426242	426952	+	711	246	369	302	286	314	309	360	450	504	486
YKL008C	chrXI	427295	428551	-	1257	530	697	369	430	315	418	288	321	289	439
YKL007W	chrXI	429302	430108	+	807	591	795	510	782	722	874	873	801	687	849
YKL006C-A	chrXI	430198	430632	-	435	134	226	124	199	180	208	160	179	204	155
YKL006W	chrXI	431906	432720	+	815	526	766	641	610	664	717	698	700	673	675
YKL005C	chrXI	433093	434877	-	1785	708	1160	812	810	639	899	778	415	461	511
YKL004W	chrXI	435580	436785	+	1206	309	483	304	361	282	335	259	441	394	434
YKL003C	chrXI	437097	437492	-	396	156	237	155	202	215	237	296	249	195	244
YKL002W	chrXI	437778	438544	+	767	654	965	606	1257	1086	1141	1107	824	844	892
YKL001C	chrXI	438777	439385	-	609	1903	2474	1779	995	1447	1279	2092	4254	1066	5939
YKR001C	chrXI	440608	442722	-	2115	905	1289	760	924	1008	1253	1382	1525	1357	1861
YKR002W	chrXI	443232	444938	+	1707	440	772	484	506	467	534	587	534	500	641
YKR003W	chrXI	445381	446727	+	1347	288	368	239	252	210	247	231	205	207	272
YKR004C	chrXI	446799	448036	-	1238	142	173	96	83	62	107	63	75	89	97
YKR005C	chrXI	448521	450167	-	1647	225	316	189	200	148	182	133	113	132	154
YKR006C	chrXI	450423	451217	-	795	140	227	138	236	186	205	260	229	197	230
YKR007W	chrXI	451434	451988	+	555	148	256	178	304	259	237	232	258	271	219
YKR008W	chrXI	452201	454078	+	1878	236	299	168	202	178	265	189	213	173	230
YKR009C	chrXI	454352	457054	-	2703	379	486	274	383	281	376	262	309	337	505
YKR010C	chrXI	458924	461239	-	2316	164	226	174	197	165	219	224	119	138	165
YKR011C	chrXI	461635	462696	-	1062	301	448	239	249	173	247	217	264	261	331
YKR012C	chrXI	463739	464116	-	378	19	14	12	10	15	10	16	7	11	9
YKR013W	chrXI	463959	464948	+	990	563	656	367	553	452	416	392	637	529	571
YKR014C	chrXI	465367	466071	-	705	1489	2246	1450	1448	1483	1540	1731	1069	975	1122
YKR015C	chrXI	466961	468667	-	1707	188	293	180	122	89	121	78	96	84	115
YKR016W	chrXI	469717	471339	+	1623	416	632	375	513	389	512	576	599	655	720
YKR017C	chrXI	471694	473349	-	1656	129	163	74	133	83	91	70	73	68	93
YKR018C	chrXI	473723	475900	-	2178	1275	1925	1080	1877	1522	1855	1696	1571	1471	1800
YKR019C	chrXI	476216	478063	-	1848	353	534	344	407	236	280	240	267	285	338
YKR020W	chrXI	478338	478832	+	495	203	358	185	253	230	234	248	239	245	297
YKR021W	chrXI	479234	481981	+	2748	371	498	303	404	295	383	329	309	389	360
YKR022C	chrXI	482171	483139	-	969	277	468	337	303	260	334	399	280	285	326
YKR023W	chrXI	483419	485011	+	1593	186	361	251	298	279	266	289	316	280	326
YKR024C	chrXI	485144	487372	-	2229	201	279	226	239	194	245	210	343	315	290
YKR025W	chrXI	487770	488618	+	849	253	461	426	406	377	435	350	409	473	411
YKR026C	chrXI	488738	489655	-	918	200	324	283	240	255	221	258	269	315	307
YKR027W	chrXI	491364	493661	+	2298	267	435	282	313	301	350	349	277	328	337
YKR028W	chrXI	494257	497358	+	3102	1235	1911	1331	1169	991	1351	1079	700	761	931
YKR029C	chrXI	497578	499833	-	2256	176	219	116	138	96	131	143	121	140	182
YKR030W	chrXI	500282	501103	+	822	106	116	73	72	61	83	71	94	128	159
YKR031C	chrXI	501344	506395	-	5052	661	801	501	560	435	537	499	418	381	532
YKR032W	chrXI	506517	506831	+	315	0	0	0	0	0	0	1	1	1	2
YKR033C	chrXI	506879	507304	-	426	0	0	0	0	0	0	0	0	0	0
YKR034W	chrXI	506898	507707	+	810	38	50	28	34	28	26	22	36	32	23
YKR035C	chrXI	507920	508561	-	642	2	3	1	2	2	7	3	1	1	0
YKR035W-A	chrXI	507939	508553	+	615	0	0	0	0	0	0	0	0	0	0
YKR036C	chrXI	508702	510633	-	1932	810	1423	1001	715	663	706	495	388	522	487
YKR037C	chrXI	510910	511797	-	888	98	94	77	101	82	84	84	89	91	147
YKR038C	chrXI	511999	513159	-	1161	570	931	646	680	599	631	474	516	567	632
YKR039W	chrXI	515063	516871	+	1809	415	456	262	234	171	184	202	128	89	106
YKR040C	chrXI	518063	518566	-	504	0	0	1	0	1	0	1	1	0	0
YKR041W	chrXI	518198	518950	+	753	2	6	1	4	2	2	1	4	11	9
YKR042W	chrXI	519527	520624	+	1098	2043	2641	1649	2035	2036	1979	1508	2848	2582	2664
YKR043C	chrXI	520897	521712	-	816	449	745	544	811	715	677	626	768	772	677
YKR044W	chrXI	522015	523346	+	1332	208	349	270	254	199	246	212	269	310	244
YKR045C	chrXI	523418	523969	-	552	56	89	69	93	66	76	66	64	82	60
YKR046C	chrXI	524223	525074	-	852	2552	3358	1899	3569	2402	2485	2037	2401	2184	2119
YKR047W	chrXI	525257	525562	+	306	19	21	10	44	24	22	17	26	27	21
YKR048C	chrXI	525387	526640	-	1254	499	750	526	672	615	643	516	808	815	903
YKR049C	chrXI	526830	527231	-	402	257	356	186	570	343	356	266	335	334	354
YKR050W	chrXI	527815	530484	+	2670	356	607	360	466	382	461	368	317	340	408
YKR051W	chrXI	530946	532202	+	1257	232	323	211	231	170	228	163	136	129	165
YKR052C	chrXI	532550	533464	-	915	114	210	96	153	118	166	119	321	323	485
YKR053C	chrXI	534067	535281	-	1215	303	392	232	309	252	291	211	142	181	133
YKR054C	chrXI	535647	547925	-	12279	378	621	436	419	446	533	466	444	477	570
YKR055W	chrXI	548216	549091	+	876	98	177	68	120	87	114	80	127	142	168
YKR056W	chrXI	549448	551367	+	1920	477	810	717	791	731	803	866	683	755	699
YKR057W	chrXI	551657	552242	+	586	721	965	759	1028	860	1145	911	825	821	710
YKR058W	chrXI	552770	554620	+	1851	806	980	458	1045	501	686	418	319	340	442
YKR059W	chrXI	554987	556174	+	1188	213	271	210	276	269	267	309	351	328	340
YKR060W	chrXI	556518	557342	+	825	43	71	54	59	51	54	68	90	64	90
YKR061W	chrXI	557677	558954	+	1278	326	477	267	560	375	539	342	561	543	525
YKR062W	chrXI	559666	560652	+	987	262	332	227	267	210	258	240	319	319	399
YKR063C	chrXI	560789	562297	-	1509	276	382	264	296	239	338	228	279	277	291
YKR064W	chrXI	562547	565138	+	2592	660	921	518	472	298	472	361	241	283	296
YKR065C	chrXI	565299	565892	-	594	297	330	243	396	352	383	422	433	375	369
YKR066C	chrXI	566113	567198	-	1086	923	1488	785	1291	1060	1167	914	1046	1157	1572
YKR067W	chrXI	567918	570149	+	2232	477	815	420	902	607	686	617	514	500	548
YKR068C	chrXI	570328	570909	-	582	264	324	171	290	238	277	245	363	297	398
YKR069W	chrXI	571612	573393	+	1782	4869	6959	5579	1140	1404	1364	1661	1918	532	5186
YKR070W	chrXI	573574	574632	+	1059	190	239	171	168	163	196	175	214	210	253
YKR071C	chrXI	574934	575980	-	1047	1247	1629	818	562	531	701	524	931	1162	1652
YKR072C	chrXI	576435	578123	-	1689	597	1030	666	642	540	635	480	789	864	1104
YKR073C	chrXI	578187	578507	-	321	8	11	9	9	10	9	6	20	17	19
YKR074W	chrXI	579209	579676	+	468	182	257	157	255	206	264	270	218	195	204
YKR075C	chrXI	579827	580750	-	924	455	629	196	626	297	407	230	505	505	545
YKR075W-A	chrXI	580212	580481	+	270	0	0	0	0	0	0	0	0	0	0
YKR076W	chrXI	582283	583395	+	1113	392	588	322	770	602	699	531	540	511	561
YKR077W	chrXI	583653	584744	+	1092	42	74	44	93	62	56	61	95	97	121
YKR078W	chrXI	584952	586709	+	1758	278	363	246	264	188	312	236	193	162	246
YKR079C	chrXI	586789	589305	-	2517	216	337	237	218	181	256	235	241	210	179
YKR080W	chrXI	590395	591357	+	963	1873	3024	1734	2346	1742	2020	1833	1417	1214	1311
YKR081C	chrXI	591506	592540	-	1035	165	307	306	288	336	378	408	376	485	366
YKR082W	chrXI	592825	596298	+	3474	340	510	332	359	352	447	409	391	421	410
YKR083C	chrXI	596421	596822	-	402	71	79	65	106	84	88	113	111	96	102
YKR084C	chrXI	597055	598890	-	1836	437	615	412	421	427	436	467	477	473	545
YKR085C	chrXI	599094	599681	-	588	125	188	126	234	190	182	203	232	175	184
YKR086W	chrXI	599857	603072	+	3216	331	482	372	365	266	365	234	259	273	304
YKR087C	chrXI	603195	604232	-	1038	650	862	478	693	473	618	432	437	479	519
YKR088C	chrXI	604405	605418	-	1014	375	475	301	367	321	371	349	333	285	314
YKR089C	chrXI	605633	608365	-	2733	1370	1956	1109	1482	1123	1381	1077	774	774	967
YKR090W	chrXI	608946	611066	+	2121	135	204	148	176	179	189	187	192	204	258
YKR091W	chrXI	611525	612265	+	741	424	610	366	520	382	423	325	596	510	525
YKR092C	chrXI	612665	613885	-	1221	174	301	240	204	217	272	181	297	276	222
YKR093W	chrXI	615730	617535	+	1806	293	434	196	130	155	189	125	298	325	533
YKR094C	chrXI	617996	618750	-	755	554	820	640	653	658	727	692	715	731	790
YKR095W	chrXI	619805	625432	+	5628	986	1480	990	920	809	997	956	774	707	947
YKR095W-A	chrXI	625864	626205	+	342	132	160	148	72	74	81	98	108	92	95
YKR096W	chrXI	626793	630380	+	3588	701	999	534	644	428	621	479	568	481	702
YKR097W	chrXI	631152	632801	+	1650	60	115	59	93	70	81	58	144	123	149
YKR098C	chrXI	633026	635179	-	2154	314	569	263	333	232	345	242	447	496	665
YKR099W	chrXI	635851	638286	+	2436	517	1006	614	619	421	454	276	300	332	300
YKR100C	chrXI	638901	639968	-	1068	653	1030	694	610	459	617	573	500	467	557
YKR101W	chrXI	640540	642504	+	1965	529	743	421	534	290	442	221	202	243	317
YKR102W	chrXI	646356	649865	+	3510	73	115	74	54	82	67	67	106	138	162
YKR103W	chrXI	653080	656736	+	3657	0	0	0	0	0	0	0	0	0	0
YKR104W	chrXI	656836	657756	+	921	0	0	0	0	0	0	0	0	0	0
YKR105C	chrXI	658716	660464	-	1749	0	0	0	0	0	0	0	0	0	0
YKR106W	chrXI	661442	663289	+	1848	0	0	0	0	0	0	0	0	0	0
YLL067C	chrXII	585	4301	-	3717	209	481	270	264	278	259	286	362	217	463
YLL067W-A	chrXII	843	1325	+	483	0	0	0	0	0	0	0	0	0	0
YLL066W-B	chrXII	5605	5775	+	171	5	4	7	3	6	3	5	1	2	0
YLL066C	chrXII	6120	9836	-	3717	199	435	278	228	289	241	215	331	236	395
YLL066W-A	chrXII	6486	6968	+	483	0	0	0	0	0	0	0	0	0	0
YLL065W	chrXII	11726	12076	+	351	1	0	0	1	1	0	1	0	1	0
YLL064C	chrXII	13083	13445	-	363	3	7	9	10	6	6	8	4	3	6
YLL063C	chrXII	14648	16072	-	1425	199	320	176	204	147	198	110	86	92	125
YLL062C	chrXII	16639	17613	-	975	160	233	126	123	110	136	170	530	146	800
YLL061W	chrXII	17956	19707	+	1752	751	943	509	209	219	238	351	844	331	1501
YLL060C	chrXII	21138	21839	-	702	528	799	543	523	354	383	246	194	187	231
YLL059C	chrXII	22474	22980	-	507	60	101	70	55	39	63	41	27	43	50
YLL058W	chrXII	23569	25296	+	1728	732	1031	591	510	331	443	315	385	300	474
YLL057C	chrXII	25756	26994	-	1239	192	265	144	167	117	148	107	156	93	129
YLL056C	chrXII	27409	28305	-	897	331	449	282	355	275	340	209	257	238	350
YLL055W	chrXII	30109	31704	+	1596	348	460	220	394	256	247	133	281	157	435
YLL054C	chrXII	32673	35204	-	2532	109	169	79	92	102	129	86	133	123	154
YLL053C	chrXII	35503	35961	-	459	59	66	48	90	59	61	42	63	49	42
YLL052C	chrXII	35912	36361	-	450	46	45	33	32	45	42	26	39	32	43
YLL051C	chrXII	37333	39471	-	2139	816	1041	654	485	369	497	332	766	670	782
YLL050C	chrXII	39804	40414	-	611	1356	1696	992	2004	1554	1746	1629	1825	1673	1785
YLL049W	chrXII	40666	41205	+	540	242	271	182	241	232	268	226	209	166	176
YLL048C	chrXII	41280	46265	-	4986	2261	3096	2003	2258	1674	2135	1497	912	975	1067
YLL047W	chrXII	46672	47055	+	384	3	9	4	6	1	9	1	3	4	4
YLL046C	chrXII	46714	47463	-	750	5	6	6	7	5	8	2	10	5	10
YLL045C	chrXII	47859	48629	-	771	713	1040	925	1162	1116	1037	952	915	949	1009
YLL044W	chrXII	48216	48662	+	447	0	0	0	0	0	0	0	0	0	0
YLL043W	chrXII	49938	51947	+	2010	717	1199	712	631	606	711	616	663	773	918
YLL042C	chrXII	52087	52590	-	504	36	28	27	50	37	60	37	51	51	37
YLL041C	chrXII	53131	53931	-	801	624	1006	458	967	755	817	755	920	972	776
YLL040C	chrXII	54211	63645	-	9435	1181	1762	1066	1859	1486	1702	1357	1164	1061	1438
YLL039C	chrXII	64062	65207	-	1146	3913	6081	3164	4746	3582	4569	3328	4909	5007	6570
YLL038C	chrXII	65775	66518	-	744	60	106	58	55	51	58	63	46	50	59
YLL037W	chrXII	66562	66942	+	381	0	1	0	0	0	1	1	0	0	1
YLL036C	chrXII	66745	68256	-	1512	331	513	313	372	334	340	279	272	302	324
YLL035W	chrXII	68580	70478	+	1899	139	255	154	139	137	157	111	164	179	188
YLL034C	chrXII	70633	73146	-	2514	128	225	227	199	203	245	260	261	269	257
YLL033W	chrXII	73409	74101	+	693	87	101	68	86	66	90	63	69	59	89
YLL032C	chrXII	74270	76747	-	2478	149	223	115	131	100	152	125	178	187	297
YLL031C	chrXII	77152	80205	-	3054	231	299	179	205	161	217	203	255	322	343
YLL030C	chrXII	80356	80697	-	342	2	1	0	2	1	0	0	0	1	1
